U.S.S.R.,Skill,0
UG,Skill,22
UA,Skill,214
UN Convention Refugee,Skill,0
AE,Skill,3
GB,Skill,19463
United Nations Organisation,Skill,0
US,Skill,1444
Unknown,Skill,18
UY,Skill,8
UZ,Skill,36
VU,Skill,3
Vatican City,Skill,0
VE,Skill,303
VN,Skill,1068
YE,Skill,13
MK,Skill,12
ZM,Skill,141
ZW,Skill,852
AF,Special Eligibility,1
AL,Special Eligibility,11
DZ,Special Eligibility,2
AG,Special Eligibility,0
AR,Special Eligibility,0
AT,Special Eligibility,0
BH,Special Eligibility,3
BD,Special Eligibility,5
BE,Special Eligibility,0
BO,Special Eligibility,1
BA,Special Eligibility,0
BR,Special Eligibility,5
KH,Special Eligibility,0
CM,Special Eligibility,1
CA,Special Eligibility,5
CL,Special Eligibility,2
CO,Special Eligibility,7
CG,Special Eligibility,0
CI,Special Eligibility,0
HR,Special Eligibility,0
CU,Special Eligibility,0
CY,Special Eligibility,0
CZ,Special Eligibility,0
TL,Special Eligibility,0
CD,Special Eligibility,0
DK,Special Eligibility,0
DO,Special Eligibility,0
EC,Special Eligibility,1
EG,Special Eligibility,17
SV,Special Eligibility,1
ER,Special Eligibility,1
ET,Special Eligibility,8
FJ,Special Eligibility,50
FI,Special Eligibility,0
MK,Special Eligibility,4
FR,Special Eligibility,0
GM,Special Eligibility,0
DE,Special Eligibility,7
GH,Special Eligibility,1
GR,Special Eligibility,0
GN,Special Eligibility,1
GY,Special Eligibility,0
HN,Special Eligibility,0
HK,Special Eligibility,2
HU,Special Eligibility,2
IS,Special Eligibility,0
IN,Special Eligibility,17
ID,Special Eligibility,29
IR,Special Eligibility,9
IQ,Special Eligibility,0
IE,Special Eligibility,1
IL,Special Eligibility,1
IT,Special Eligibility,2
JP,Special Eligibility,1
JO,Special Eligibility,1
KZ,Special Eligibility,3
KE,Special Eligibility,7
KI,Special Eligibility,0
Korea Dem Peoples Rep Of,Special Eligibility,0
KR,Special Eligibility,96
KW,Special Eligibility,0
LA,Special Eligibility,0
LV,Special Eligibility,0
LB,Special Eligibility,7
LT,Special Eligibility,3
Macau Spec Admin Rgn,Special Eligibility,0
MW,Special Eligibility,0
MY,Special Eligibility,5
MT,Special Eligibility,1
