Citizenship,Stream,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Myanmar,Family,121,51,85,76,84,102,147,106,139,157,139,146,167,197,172,193
Namibia,Family,4,3,3,5,9,7,2,5,3,5,6,7,7,6,12,3
Nauru,Family,6,2,2,1,8,5,2,9,10,8,14,13,11,10,1,9
Nepal,Family,30,29,28,50,48,79,99,125,111,165,217,228,244,227,276,399
Netherlands,Family,268,280,241,263,263,324,352,312,327,288,323,293,292,296,245,285
Netherlands Antilles,Family,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
New Caledonia,Family,3,2,6,4,1,6,1,3,3,-1,0,1,4,0,0,0
Nicaragua,Family,8,3,3,1,1,5,1,-1,1,6,9,3,4,3,3,10
Niger,Family,0,3,1,6,3,2,-1,2,2,5,2,0,0,1,2,1
Nigeria,Family,29,40,24,31,30,50,51,55,68,120,85,110,118,183,145,121
Norway,Family,33,32,40,50,39,64,82,106,86,110,104,75,86,89,91,95
Oman,Family,3,0,0,0,0,2,0,0,1,3,0,3,1,0,2,-1
Pakistan,Family,311,264,321,297,285,317,384,570,511,425,733,612,704,502,671,965
Palau,Family,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0
Palestinian Authority,Family,0,0,10,10,25,19,20,30,39,36,23,38,38,25,16,14
Panama,Family,0,1,3,5,1,4,4,3,2,4,2,4,3,4,2,3
Papua New Guinea,Family,107,105,111,100,133,142,224,157,130,136,124,150,157,152,201,165
Paraguay,Family,2,2,2,5,11,6,1,4,3,6,2,8,4,2,2,1
People's Republic of China,Family,5381,3015,3965,3633,3060,3608,3912,4681,4871,5008,6037,6131,7901,10218,9077,9703
Peru,Family,97,66,110,119,124,130,175,142,150,145,166,162,175,196,152,167
Philippines,Family,2447,2657,2502,2661,2105,2287,2276,2478,2192,2453,3098,3090,3211,3307,2963,3859
Poland,Family,317,256,228,209,222,236,279,285,236,275,249,267,263,303,226,237
Portugal,Family,95,94,61,57,57,62,77,75,79,82,93,72,83,100,71,92
Qatar,Family,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Refugee,Family,1,5,0,0,2,4,12,5,12,5,6,4,0,0,-1,1
Reunion,Family,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Romania,Family,234,173,184,166,137,162,218,132,117,150,173,137,159,161,111,122
Russian Federation,Family,304,243,316,373,387,432,369,437,437,396,351,458,443,532,568,506
Rwanda,Family,4,0,0,1,2,1,1,0,1,4,3,3,13,17,10,23
Samoa,Family,88,54,60,50,45,60,44,52,48,58,35,51,40,96,54,67
Saudi Arabia,Family,1,0,0,4,2,3,0,3,5,3,1,2,4,0,4,1
Senegal,Family,11,9,5,6,1,9,5,6,7,9,6,4,8,7,10,6
Serbia,Family,0,0,0,0,0,0,0,0,0,0,63,170,177,178,132,126
Serbia and Montenegro,Family,0,0,0,0,0,0,0,73,163,190,175,17,11,1,1,1
Seychelles,Family,13,7,9,6,10,25,8,11,10,10,21,20,7,20,12,12
Sierra Leone,Family,8,3,4,3,2,1,1,16,8,18,16,30,43,71,68,87
Singapore,Family,252,178,216,282,296,257,348,411,369,409,390,373,438,434,391,414
Slovakia,Family,56,36,34,60,64,54,88,63,69,61,80,65,71,73,58,57
Slovenia,Family,15,15,17,16,20,22,15,15,13,22,14,10,8,16,13,15
Solomon Islands,Family,27,19,32,39,42,44,26,18,34,29,27,26,16,29,28,27
Somalia,Family,209,199,63,82,54,75,87,74,85,97,150,90,114,176,170,187
"South Africa, Republic of",Family,777,500,572,638,829,737,662,1010,957,891,987,916,1240,1220,1002,899
South America (so stated),Family,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
South Sudan,Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Spain,Family,73,80,51,60,72,99,109,93,87,97,104,87,101,118,122,165
Sri Lanka,Family,662,542,508,380,473,644,640,593,646,641,863,803,1020,1003,738,794
St Kitts-Nevis,Family,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0
St Lucia,Family,1,1,1,0,0,0,0,1,4,1,1,1,0,0,2,2
St Vincent & the Grenadines,Family,2,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
Stateless,Family,660,160,131,40,64,60,72,53,67,47,51,63,4,48,65,63
Sudan,Family,18,23,17,22,17,33,48,49,55,97,194,227,248,384,423,309
Suriname,Family,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
Swaziland,Family,2,2,2,0,2,0,1,1,0,1,0,1,3,1,1,0
Sweden,Family,148,149,119,156,176,163,224,256,234,207,230,249,235,245,217,244
Switzerland,Family,153,156,123,124,135,121,150,141,137,151,115,134,132,120,123,118
Syria,Family,152,167,155,196,195,129,202,157,164,173,163,166,229,133,196,204
Tadjikistan,Family,6,4,0,2,2,3,1,0,4,1,1,1,4,2,3,0
Taiwan,Family,292,245,187,182,235,283,263,291,313,350,330,342,376,442,369,449
Tanzania,Family,2,9,11,7,10,14,17,25,12,20,23,18,26,25,29,23
Thailand,Family,612,524,704,757,851,1517,1400,1205,1258,1521,1801,1827,2248,2176,2041,2066
Togo,Family,0,0,0,0,1,1,0,1,0,2,0,0,6,2,5,5
Tonga,Family,158,124,166,146,184,222,166,154,148,154,143,186,178,150,171,165
Trinidad and Tobago,Family,4,7,6,6,14,5,10,7,5,6,10,8,13,11,10,12
Tunisia,Family,2,10,7,2,7,2,13,1,5,5,9,5,5,4,12,10
Turkey,Family,722,582,477,441,400,525,589,622,482,441,267,369,382,325,461,372
Turkmenistan,Family,0,0,0,0,0,0,2,0,1,2,7,0,1,2,3,1
Tuvalu,Family,3,0,1,2,2,3,3,2,1,0,1,0,0,1,0,6
U.S.S.R.,Family,62,40,40,30,10,12,7,13,3,0,1,0,3,-1,0,1
Uganda,Family,4,4,6,9,7,10,12,13,15,10,18,29,20,45,47,32
Ukraine,Family,245,180,209,160,166,210,189,228,206,211,219,170,185,194,193,170
UN Convention Refugee,Family,7,13,8,3,3,4,5,4,7,2,3,19,29,9,7,10
United Arab Emirates,Family,0,1,2,3,0,4,3,0,0,3,1,2,1,1,1,2
United Kingdom,Family,5216,4284,4157,3997,5017,5798,6133,6822,6581,6959,6540,6176,7360,7229,5806,5746
United Nations Organisation,Family,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
